image,out,painted_area_fraction,error
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775598360175.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775598360175.json,0.0593,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775598458279.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775598458279.json,0.1884,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775598533080.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775598533080.json,0.1784,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775598736823.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775598736823.json,0.1567,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775598887302.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775598887302.json,0.0597,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599006556.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599006556.json,0.1601,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599329523.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599329523.json,0.3313,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599431709.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599431709.json,0.0545,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599615386.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599615386.json,0.1071,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599810516.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599810516.json,0.3545,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775599959922.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775599959922.json,0.1530,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775600057585.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775600057585.json,0.1231,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775600539989.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775600539989.json,0.1213,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775603876371.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775603876371.json,0.1418,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775604593142.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775604593142.json,0.0567,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775604840391.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775604840391.json,0.3414,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775605305917.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775605305917.json,0.0571,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775610540193.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775610540193.json,0.0586,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775610984103.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775610984103.json,0.0582,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775611036362.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775611036362.json,0.1978,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775611387082.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775611387082.json,0.1802,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775612063486.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775612063486.json,0.0590,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775612194296.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775612194296.json,0.2604,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775612271862.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775612271862.json,0.0575,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775612347055.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775612347055.json,0.0582,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775612404908.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775612404908.json,0.1257,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775613258672.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775613258672.json,0.0601,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775617284047.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775617284047.json,0.0970,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775617357947.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775617357947.json,0.0593,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775619107883.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775619107883.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775619619988.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775619619988.json,0.0455,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775619759181.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775619759181.json,0.0549,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775620633639.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775620633639.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775621837693.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775621837693.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775622795226.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775622795226.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775625195677.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775625195677.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775625224386.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775625224386.json,0.0440,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669829202.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669829202.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669859593.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669859593.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669906698.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669906698.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669941028.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669941028.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669971424.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669971424.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775669985166.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775669985166.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775670097042.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775670097042.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775670127457.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775670127457.json,0.0470,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775671904501.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775671904501.json,0.0470,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775671942084.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775671942084.json,0.0474,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775672403957.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775672403957.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775672767553.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775672767553.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775672784342.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775672784342.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775674112326.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775674112326.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775674149758.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775674149758.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775675565943.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775675565943.json,0.0649,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775676222303.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775676222303.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775676409317.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775676409317.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775676811434.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775676811434.json,0.0474,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775676900690.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775676900690.json,0.0780,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775677720486.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775677720486.json,0.1116,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775677868551.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775677868551.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775677928056.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775677928056.json,0.0470,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775678308530.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775678308530.json,0.0881,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775678774977.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775678774977.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775682154043.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775682154043.json,0.0925,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775682210239.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775682210239.json,0.1097,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775685167091.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775685167091.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775685656768.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775685656768.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775686027195.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775686027195.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775686105917.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775686105917.json,0.0582,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775695222517.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775695222517.json,0.0597,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775696717154.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775696717154.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775715540441.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775715540441.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775715567538.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775715567538.json,0.0489,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775715598123.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775715598123.json,0.0507,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775715873557.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775715873557.json,0.0504,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717291574.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717291574.json,0.0489,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717378260.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717378260.json,0.0590,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717411734.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717411734.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717441028.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717441028.json,0.0649,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717472573.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717472573.json,0.0653,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717529382.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717529382.json,0.0653,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717608807.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717608807.json,0.0455,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717884008.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717884008.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775717929353.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775717929353.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775718432570.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775718432570.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775719552810.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775719552810.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775721543754.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775721543754.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775750732553.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775750732553.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775754137077.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775754137077.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775754192126.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775754192126.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775754220685.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775754220685.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775754243678.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775754243678.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775754272391.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775754272391.json,0.0608,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775768977439.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775768977439.json,0.0504,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775788891248.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775788891248.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775797204276.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775797204276.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775797524214.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775797524214.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775797554572.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775797554572.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775802761442.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775802761442.json,0.0459,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775803445570.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775803445570.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775803499135.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775803499135.json,0.0500,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775803524747.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775803524747.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775803807960.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775803807960.json,0.0407,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775805213402.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775805213402.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775805238429.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775805238429.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775805279462.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775805279462.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775805309451.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775805309451.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775805352773.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775805352773.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775841966417.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775841966417.json,0.0507,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775842059917.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775842059917.json,0.0485,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775842334657.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775842334657.json,0.0481,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775846386943.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775846386943.json,0.0541,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775847175369.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775847175369.json,0.0485,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775857937107.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775857937107.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775862707943.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775862707943.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775862835823.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775862835823.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775863297561.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775863297561.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775864429518.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775864429518.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775864622507.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775864622507.json,0.0481,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775864663604.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775864663604.json,0.0481,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775865843059.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775865843059.json,0.0399,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775949226860.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775949226860.json,0.0504,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1775949862105.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1775949862105.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776018942849.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776018942849.json,0.0485,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776019580494.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776019580494.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776021035226.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776021035226.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776033920067.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776033920067.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776040704721.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776040704721.json,0.0534,
