image,out,painted_area_fraction,error
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776041627891.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776041627891.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776046996001.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776046996001.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776048283078.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776048283078.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776100194985.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776100194985.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776101232163.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776101232163.json,0.0444,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776102014518.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776102014518.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776102068561.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776102068561.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776103950655.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776103950655.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776107358100.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776107358100.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776120189786.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776120189786.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776120223636.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776120223636.json,0.0530,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776122412092.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776122412092.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776123109471.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776123109471.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776123310865.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776123310865.json,0.0489,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776127897627.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776127897627.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776271159274.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776271159274.json,0.0929,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776271569143.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776271569143.json,0.0813,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776271578603.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776271578603.json,0.0817,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776271579476.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776271579476.json,0.0821,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776300947713.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776300947713.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776300953806.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776300953806.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776431850291.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776431850291.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776433293246.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776433293246.json,0.0515,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776436932454.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776436932454.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776447292053.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776447292053.json,0.0507,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776447303020.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776447303020.json,0.0511,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776451749406.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776451749406.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776452565895.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776452565895.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776456860101.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776456860101.json,0.0496,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776463014083.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776463014083.json,0.0489,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776464039206.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776464039206.json,0.0485,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776709925304.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776709925304.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776710233770.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776710233770.json,0.0519,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776729594707.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776729594707.json,0.0500,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776953436995.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776953436995.json,0.0575,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776954639846.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776954639846.json,0.0675,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776955093279.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776955093279.json,0.0500,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776955581701.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776955581701.json,0.0534,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776956437255.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776956437255.json,0.0575,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776956734917.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776956734917.json,0.0530,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957191615.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957191615.json,0.0493,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957465299.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957465299.json,0.0530,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957581719.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957581719.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957808040.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957808040.json,0.0463,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957852304.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957852304.json,0.0504,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776957970748.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776957970748.json,0.0474,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776959917583.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776959917583.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776960273878.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776960273878.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776960340068.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776960340068.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776960470979.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776960470979.json,0.0470,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776961126028.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776961126028.json,0.0466,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776967821960.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776967821960.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776968180381.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776968180381.json,0.0474,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776970193677.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776970193677.json,0.0526,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776971562889.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776971562889.json,0.0474,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1776972481433.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1776972481433.json,0.0500,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1779486519496.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1779486519496.json,0.0522,
D:\MemoryMachine\archive\diagrams\generated\memory_machine_jpg-color_1779486552102.jpg,D:\MemoryMachine\outputs\legacy_diagram_ingest\1779486552102.json,0.0511,
